1649_at,1704_at,1786_at,31342_at,31386_at,31858_at,32174_at,32321_at,33206_at,33782_r_at,33813_at,33829_at,34362_at,35231_at,35297_at,36921_at,37200_at,37918_at,38115_at,38286_at,38752_r_at,38774_at,38790_at,38833_at,39588_at,39649_at,39693_at,39721_at,41779_at,824_at,label
25.2,45.4,115.6,37.1,39.7,10.0,144.6,29.0,13.4,129.3,137.8,47.0,15.6,10.9,84.5,73.3,33.1,15.0,10.0,23.2,294.0,15.2,15.1,109.2,10.0,43.6,19.2,25.9,10.0,22.2,1
56.94,22.83,51.95,58.51,76.75,28.47,66.51,159.79,245.46,302.52,54.84,83.83,66.25,46.44,316.3,172.78,33.72,26.76,186.81,193.11,936.04,112.3,83.83,138.01,41.19,208.59,55.1,73.2,38.83,79.9,1
109.46,45.64,68.27,68.73,16.11,19.02,70.96,190.7,130.18,179.88,139.46,10.0,63.13,48.33,86.68,70.5,113.07,74.1,56.77,83.61,32.6,65.28,22.48,525.15,67.43,60.14,48.4,120.05,39.74,20.48,1
138.68,47.96,116.65,50.1,16.55,38.95,57.82,239.16,226.89,164.8,96.02,45.36,75.85,95.55,83.38,10.0,87.84,58.75,84.77,127.16,329.88,103.36,40.71,689.6,34.67,59.02,36.07,133.57,83.19,11.9,1
56.73,41.43,47.96,50.0,10.0,25.51,149.38,156.73,182.85,24.08,38.16,60.2,157.75,83.47,135.51,83.67,40.61,12.86,85.71,265.3,550.18,126.53,40.0,250.6,31.43,168.97,27.55,10.0,47.75,44.9,1
203.41,69.02,75.37,121.8,66.73,28.32,142.82,247.24,128.77,10.0,247.76,96.08,99.52,86.51,39.14,135.43,166.56,163.64,50.18,105.35,146.47,61.31,45.39,608.25,32.69,104.62,56.84,61.31,76.1,28.94,1
163.77,31.07,85.19,55.6,48.52,63.7,31.54,233.31,297.4,128.26,241.25,137.6,128.8,76.78,173.97,131.06,216.41,114.63,129.19,278.4,525.96,91.81,73.67,915.64,67.44,99.45,74.21,43.77,105.13,49.37,1
124.91,48.7,80.77,47.69,82.54,18.57,106.6,238.77,10.0,253.45,216.23,64.48,125.42,48.11,182.22,120.27,212.01,103.05,49.63,38.57,627.68,60.43,10.0,717.82,37.31,102.88,54.18,49.29,89.3,61.78,1
91.18,46.36,55.62,47.47,94.94,63.62,110.74,384.71,94.04,189.54,155.29,54.57,98.56,62.37,206.8,90.56,168.44,105.38,82.9,152.44,653.52,41.35,41.9,859.83,43.16,130.09,59.79,65.5,37.1,53.88,1
74.61,35.37,10.0,61.53,70.32,65.93,187.73,35.16,336.12,10.0,31.39,48.77,10.0,90.52,250.21,36.63,13.6,13.5,102.97,79.01,950.08,38.61,72.1,61.95,10.0,83.51,10.0,10.0,44.37,24.49,1
