40768_s_at,661_at,1562_g_at,424_s_at,1649_at,36040_at,34715_at,32314_g_at,39542_at,34768_at,1566_at,824_at,614_at,36861_at,37403_at,39572_at,2089_s_at,39591_s_at,1124_at,39696_at,925_at,32245_at,234_s_at,33242_at,40044_at,37852_at,37402_at,37326_at,841_at,40145_at,33936_at,1708_at,40766_at,1890_at,40512_at,37053_at,31342_at,34443_at,39242_at,38116_at,1586_at,33235_at,36736_f_at,36101_s_at,39388_at,41475_at,41123_s_at,38004_at,37393_at,40163_r_at,39540_at,38248_at,34922_at,41356_at,34526_s_at,AFFX-M27830_5_at,33303_at,38743_f_at,34889_at,1237_at,32138_at,36115_at,37051_at,39775_at,1346_at,33883_at,2036_s_at,1603_g_at,38407_r_at,34674_at,37960_at,37062_at,38370_at,1517_at,39341_at,1650_g_at,41055_at,33813_at,31528_f_at,34666_at,918_at,36617_at,1942_s_at,39829_at,36927_at,33133_at,33825_at,35663_at,31814_i_at,37841_at,311_s_at,36119_at,1537_at,33226_at,36834_at,40542_at,35773_i_at,32646_at,31745_at,32307_s_at,label
10.6,13.0,10.0,10.0,25.2,26.4,40.8,10.0,310.9,34.5,10.0,22.2,10.0,10.0,112.4,10.0,180.6,387.4,10.0,10.0,126.0,45.4,54.8,10.0,10.0,10.0,12.7,203.8,10.0,63.0,10.0,10.0,10.0,147.0,10.0,19.3,37.1,10.0,24.8,23.5,152.2,10.0,10.0,235.8,16.7,10.0,563.1,10.0,31.8,10.0,10.0,10.0,538.5,12.0,10.0,129.8,10.0,33.6,18.3,37.4,10.0,44.2,10.0,77.1,249.7,10.0,10.0,22.3,10.0,49.1,10.0,13.6,10.0,74.9,105.9,50.0,10.0,137.8,16.4,10.5,14.3,156.7,100.0,10.0,10.0,30.8,283.7,10.0,10.0,10.0,1734.2,111.0,169.2,18.1,10.0,28.9,10.8,45.3,77.2,129.1,1
10.0,12.33,474.51,10.0,56.94,70.06,10.0,10.0,2795.7,10.0,42.9,79.9,10.0,10.0,10.36,39.36,19.02,10.0,62.84,43.69,58.25,10.0,219.35,87.24,11.81,184.45,83.96,32.27,20.2,10.0,31.75,236.8,93.15,95.77,1141.2,220.27,58.51,37.91,445.0,11.81,175.93,113.22,41.98,10.0,379.93,10.0,107.05,10.0,20.2,10.0,157.69,555.06,10.0,114.92,241.0,85.01,23.22,33.06,322.6,22.04,1704.0,10.0,28.73,502.72,2467.7,10.0,10.1,110.59,1526.5,169.37,25.06,217.12,97.21,10.0,28.99,10.0,92.1,54.84,10.1,27.42,99.97,205.71,29.65,107.58,85.8,10.0,72.55,79.76,47.88,10.0,15.48,10.0,97.34,51.43,23.88,70.97,10.0,153.75,107.97,10.0,1
49.32,52.85,21.17,393.9,109.46,19.87,129.72,107.24,684.09,111.46,44.34,20.48,42.34,388.23,130.79,10.0,26.16,20.94,45.95,16.72,229.28,88.68,627.33,10.0,11.2,10.0,57.92,170.76,83.0,104.63,24.39,39.12,439.7,73.41,43.72,21.4,68.73,67.12,10.0,35.13,656.1,10.0,21.86,949.51,33.83,37.89,29.76,185.25,165.54,167.61,35.13,36.21,10.0,50.09,10.0,10.0,20.87,141.3,97.88,61.06,139.38,30.99,25.54,723.68,806.06,55.46,50.94,10.0,12.12,13.5,74.95,10.0,52.16,92.36,298.02,146.13,42.27,139.46,15.42,198.52,50.63,520.86,151.88,127.26,41.81,69.04,1060.5,72.18,79.32,23.24,1743.9,69.88,673.89,106.09,188.01,10.0,10.0,90.9,48.86,476.83,1
135.43,624.35,59.67,105.68,138.68,30.49,369.57,13.11,850.5,101.13,128.55,11.9,10.0,20.91,15.9,124.0,35.97,10.0,106.71,105.78,82.91,111.45,274.86,454.25,10.0,82.91,26.77,10.0,378.59,287.5,48.52,163.13,673.61,60.98,47.5,125.02,50.1,26.21,50.66,102.9,27.51,10.97,66.0,10.0,40.81,73.15,10.0,81.05,21.1,152.35,21.38,76.41,10.0,85.42,64.6,10.0,22.49,373.75,119.26,10.0,275.97,39.13,96.3,381.47,372.17,104.66,14.69,10.0,62.46,10.0,10.0,10.0,72.5,25.84,34.95,152.72,60.42,96.02,15.06,26.03,44.99,353.31,218.99,193.62,145.1,52.42,454.99,30.4,51.77,90.63,193.24,17.2,208.4,207.37,10.0,39.78,10.0,161.36,52.05,10.0,1
10.0,13.27,127.55,23.67,56.73,72.04,10.0,10.0,2608.9,10.0,88.77,44.9,10.0,10.0,10.0,57.35,54.28,10.0,79.18,23.26,47.75,10.0,355.91,53.26,10.0,133.46,96.12,27.75,83.88,10.0,35.71,229.18,144.08,33.67,800.38,207.54,50.0,45.51,237.54,10.0,157.75,86.12,10.0,10.0,221.22,10.0,364.89,10.0,11.43,137.14,50.61,365.7,29.59,95.51,143.26,25.71,47.96,13.88,252.44,22.24,1454.8,10.0,45.31,324.89,1654.2,10.0,10.0,35.71,1345.3,107.96,14.49,112.24,111.63,10.0,52.86,10.0,76.32,38.16,10.0,32.45,210.4,222.65,29.39,51.63,77.75,10.0,60.41,77.55,95.3,22.65,38.37,13.06,48.98,10.0,10.0,32.86,10.0,232.24,83.47,10.0,1
31.23,31.54,26.03,141.05,203.41,313.03,10.0,71.62,240.16,137.1,46.85,28.94,101.08,235.58,290.44,10.0,15.82,21.55,42.26,18.43,357.16,22.8,116.7,24.78,10.0,10.0,360.39,513.42,36.64,13.12,45.6,56.84,282.11,170.2,41.54,29.77,121.8,13.33,25.82,10.0,593.16,23.42,54.13,651.97,37.27,19.05,217.46,10.0,101.18,64.54,38.0,78.07,10.0,28.32,10.0,10.0,38.93,68.71,112.64,126.48,99.52,14.57,39.35,2712.6,628.55,27.48,206.53,28.32,417.13,10.0,127.42,13.95,112.01,10.41,345.82,355.19,46.53,247.76,98.27,330.51,107.01,1194.7,124.29,239.01,135.75,31.23,1039.0,10.0,40.5,16.76,1705.2,261.08,87.44,39.35,23.84,32.69,10.0,68.91,61.0,631.88,1
35.04,203.02,18.22,23.6,163.77,89.87,38.16,35.51,347.71,184.56,28.35,49.37,10.0,37.38,262.44,10.0,18.46,15.65,13.71,50.23,442.09,45.17,1430.1,28.81,49.53,10.0,90.41,151.62,114.01,22.58,67.36,53.34,335.33,119.23,143.21,36.37,55.6,57.24,10.0,35.43,248.65,28.81,76.47,263.92,85.04,111.44,17.6,15.26,97.34,18.07,24.22,26.17,10.0,16.12,10.0,27.33,70.4,106.92,106.77,113.07,116.81,50.46,95.71,1058.5,3126.6,40.81,81.77,33.56,461.64,143.13,116.11,22.82,65.65,10.0,383.84,273.73,49.06,241.25,90.57,374.11,49.76,280.35,141.42,185.96,97.5,46.73,2281.2,333.61,70.55,127.32,746.11,47.74,356.98,53.42,470.75,39.87,50.54,42.91,12.07,176.85,1
21.94,11.73,10.0,77.56,124.91,38.66,27.43,52.83,642.96,156.22,10.0,61.78,10.0,147.87,187.7,14.94,10.0,12.58,10.0,81.28,565.39,38.23,432.46,10.0,10.0,10.0,177.75,259.7,15.53,12.41,24.9,37.9,650.21,469.68,11.65,18.32,47.69,13.84,32.07,20.34,802.98,10.13,30.38,177.83,16.46,67.86,33.34,10.0,66.59,15.28,33.84,22.28,10.0,12.83,10.0,10.0,22.45,77.9,64.31,99.59,92.76,39.33,21.69,2188.6,1121.6,27.35,74.19,46.93,31.23,10.0,74.19,12.49,39.08,10.0,326.2,197.33,10.0,216.23,13.93,108.96,13.5,808.12,149.39,216.48,53.51,50.39,1830.4,10.0,10.0,18.99,1128.4,149.3,64.48,73.09,53.68,15.53,119.26,21.1,21.44,462.93,1
17.89,36.96,40.79,176.1,91.18,81.3,83.6,51.3,328.26,175.96,79.91,53.88,10.0,43.92,65.15,40.72,48.17,25.34,25.55,35.85,393.48,68.0,1207.9,28.68,57.84,10.0,196.29,114.99,206.31,74.13,46.84,62.3,724.66,38.77,36.54,146.45,47.47,63.9,25.27,22.07,414.99,16.71,43.92,190.72,37.94,48.72,20.6,12.81,53.18,34.04,10.0,55.13,10.0,15.38,10.0,10.0,61.95,136.08,96.54,10.0,100.72,26.24,105.1,575.98,1398.9,17.82,52.83,61.67,245.08,10.0,27.49,10.0,37.38,15.52,147.84,144.92,38.42,155.29,34.39,75.87,35.85,316.15,1938.7,97.8,92.23,41.0,460.79,10.0,40.3,114.08,723.41,74.34,444.71,68.49,10.0,27.49,79.28,185.29,10.0,140.39,1
88.53,92.51,32.55,532.85,74.61,118.77,255.13,15.17,1496.6,118.46,60.8,24.49,10.0,10.0,10.0,20.41,577.54,10.0,103.39,37.25,52.01,54.63,2005.0,32.55,95.33,11.72,10.0,16.22,588.94,79.11,21.56,118.67,483.99,15.28,57.03,72.42,61.53,280.45,92.82,59.96,109.25,42.8,37.15,14.55,55.99,53.47,10.0,142.21,11.41,183.55,10.0,29.62,10.0,32.55,10.0,10.0,21.87,332.04,114.8,10.0,260.46,53.47,10.0,197.68,958.45,10.0,10.0,80.79,31.08,14.76,10.0,34.22,21.56,40.81,13.6,24.38,181.35,31.39,23.34,10.0,104.75,90.83,377.67,86.23,14.96,10.0,170.36,57.24,129.45,225.2,373.69,20.2,10.0,116.37,10.0,49.18,10.0,497.69,20.51,17.79,1
46.76,137.24,14.55,288.15,124.16,39.22,102.86,13.33,628.43,176.11,10.0,23.55,10.0,10.0,50.13,51.52,14.63,10.0,53.77,29.7,183.47,81.04,965.34,25.02,51.09,10.0,21.21,178.02,159.32,73.6,27.97,37.92,371.88,22.6,24.24,18.01,60.96,10.0,10.0,62.43,220.45,10.0,40.35,43.99,38.36,10.0,10.0,50.39,144.51,14.72,10.0,52.47,10.0,10.0,10.0,10.0,10.13,146.76,25.28,14.37,237.59,10.0,93.34,754.41,2866.5,19.83,42.34,55.16,10.0,10.0,18.79,10.0,10.0,85.46,229.88,169.19,22.17,89.7,10.0,95.33,27.01,117.5,180.62,114.64,335.6,53.51,561.85,12.73,51.35,123.82,437.6,23.64,2057.1,61.91,237.85,10.3,89.1,31.52,10.0,20.17,1
30.72,86.01,25.29,121.12,129.48,38.88,13.9,10.0,234.19,94.37,33.13,29.99,10.0,10.0,10.0,47.86,28.95,10.0,20.27,14.21,76.91,53.19,337.54,23.2,23.51,10.0,10.0,59.88,304.62,48.38,10.0,61.55,263.97,10.0,66.67,47.34,32.4,100.74,10.0,10.0,205.87,10.0,34.59,94.57,181.62,10.0,10.0,10.0,43.79,136.17,10.0,69.7,10.0,16.83,65.1,10.0,33.13,137.11,70.54,10.0,76.08,27.28,129.48,86.32,840.82,25.81,18.29,46.4,182.46,10.0,10.0,10.0,22.89,49.74,27.48,173.68,10.0,50.89,39.82,12.23,31.77,1069.4,1738.7,105.23,153.51,26.23,258.54,10.0,30.31,138.57,344.65,57.89,274.0,87.05,10.0,38.46,33.75,391.57,83.92,27.59,1
10.0,63.22,39.23,54.92,178.44,318.66,11.77,19.73,472.32,169.81,23.87,33.51,10.0,15.13,159.94,20.96,10.0,16.7,58.06,66.69,450.13,35.64,463.47,36.76,36.09,10.0,32.17,161.4,30.15,29.25,37.77,114.77,957.09,55.37,167.45,41.14,12.78,43.04,50.55,35.31,263.06,59.41,37.44,10.0,110.74,10.0,65.46,18.49,134.17,10.0,28.36,102.22,10.0,19.73,10.0,12.55,54.59,174.07,113.54,10.0,125.2,51.11,305.09,1934.1,3699.5,29.14,39.68,77.9,910.57,102.89,10.0,10.0,80.14,10.0,457.53,352.95,41.25,119.48,10.65,279.88,41.02,148.51,373.91,151.09,129.68,38.22,1546.3,26.23,10.0,107.83,339.39,21.3,375.6,60.86,105.81,59.07,77.23,136.74,86.87,91.35,1
