1039_s_at,1091_at,120_at,1321_s_at,1336_s_at,1427_g_at,1470_at,1558_g_at,1602_at,1603_g_at,1606_at,1649_at,1650_g_at,166_at,1704_at,1708_at,1709_g_at,1737_s_at,1747_at,1751_g_at,1786_at,1814_at,184_at,1988_at,2009_at,232_at,280_g_at,286_at,31330_at,31342_at,31386_at,31590_g_at,31719_at,31720_s_at,31773_at,31814_i_at,31834_r_at,31858_at,31870_at,31886_at,31996_at,32030_at,32062_at,32093_at,32109_at,32184_at,32287_s_at,32321_at,32393_s_at,32522_f_at,32531_at,32566_at,32647_at,32680_at,32718_at,32745_at,32749_s_at,32849_at,33033_at,330_s_at,33103_s_at,33131_at,33133_at,33206_at,33242_at,33272_at,33293_at,33327_at,33352_at,33412_at,33441_at,33466_at,33580_r_at,33782_r_at,33813_at,33829_at,33854_at,33901_at,33942_s_at,33993_at,34086_at,34088_at,34281_at,34316_at,34362_at,34690_at,34767_at,34768_at,34847_s_at,34889_at,35151_at,35182_f_at,35185_at,35231_at,35242_at,35297_at,35352_at,35422_at,35649_at,35663_at,35669_at,35704_at,35714_at,35903_at,35909_at,36073_at,36091_at,36119_at,36134_at,36148_at,36180_s_at,36753_at,36764_at,36766_at,36881_at,36899_at,36921_at,36925_at,36979_at,36993_at,37099_at,37140_s_at,37259_at,37351_at,37360_at,37410_at,37588_s_at,375_at,37640_at,37701_at,37716_at,37782_at,37841_at,37849_at,37918_at,38115_at,38118_at,38121_at,38286_at,38313_at,38391_at,38397_at,38403_at,38440_s_at,38516_at,38545_at,38604_at,38656_s_at,38701_at,38752_r_at,38774_at,38784_g_at,38790_at,38833_at,38967_at,39002_at,39008_at,39038_at,39051_at,39054_at,39166_s_at,39268_at,39345_at,39356_at,39364_s_at,39395_at,39542_at,39588_at,39611_at,39649_at,39693_at,39721_at,39754_at,39850_at,40078_at,40232_at,40388_at,40462_at,40476_s_at,40512_at,40544_g_at,41098_at,41193_at,41202_s_at,41275_at,41401_at,41430_at,41689_at,41734_at,41779_at,41870_at,41871_at,479_at,503_at,598_at,755_at,769_s_at,824_at,915_at,AFFX-HUMISGF3A/M97935_MA_at,label
18.0,10.0,12.3,51.0,10.0,10.0,194.4,10.8,10.0,22.3,10.0,25.2,50.0,18.5,45.4,10.0,10.0,623.5,35.2,81.0,115.6,86.8,138.0,165.8,10.0,242.1,1042.2,41.6,824.3,37.1,39.7,27.3,1424.3,1851.5,13.0,10.0,48.4,10.0,20.3,10.0,32.4,10.0,35.9,18.6,99.8,11.3,10.0,29.0,13.4,10.0,19.8,137.2,19.8,10.0,16.4,22.4,968.9,10.0,10.0,10.0,12.5,60.6,30.8,13.4,10.0,10.0,10.0,10.0,21.1,935.3,10.0,16.7,80.6,129.3,137.8,47.0,21.5,13.2,92.7,18.0,10.0,59.3,10.0,17.0,15.6,10.0,10.0,34.5,10.0,18.3,22.1,10.0,424.0,10.9,25.3,84.5,22.0,10.0,10.0,10.0,77.4,13.6,10.0,10.0,72.5,10.0,15.2,111.0,113.5,60.8,43.9,10.0,30.1,10.0,41.9,82.0,73.3,10.0,137.8,21.8,26.7,11.8,10.0,272.0,266.8,24.4,10.0,55.5,22.4,10.0,102.2,10.0,10.0,10.0,15.0,10.0,255.6,188.9,23.2,34.4,17.1,16.3,23.2,61.8,10.0,77.4,12.7,20.5,10.0,294.0,15.2,10.0,15.1,109.2,29.3,69.4,16.5,88.7,10.0,33.2,543.5,181.3,236.0,10.0,20.6,128.9,310.9,10.0,21.0,43.6,19.2,25.9,17.8,10.0,93.8,45.9,10.0,10.0,10.3,10.0,10.0,36.1,118.6,16.6,51.4,49.7,10.0,11.7,10.0,10.0,10.0,17.8,10.0,168.3,146.3,26.0,3039.3,22.2,10.0,18.6,1
24.8,1445.4,10.89,10.0,567.92,29.65,101.02,190.62,115.58,110.59,494.59,56.94,10.0,29.39,22.83,236.8,262.64,65.73,10.0,262.25,51.95,17.06,41.98,29.12,202.03,27.42,88.95,88.68,538.14,58.51,76.75,39.23,54.44,59.82,49.72,47.88,203.48,28.47,42.64,10.0,10.0,33.59,23.35,301.08,517.68,22.83,10.0,159.79,67.3,176.58,325.61,66.51,128.3,29.65,12.46,44.34,158.74,10.0,431.88,466.38,104.82,10.0,10.0,245.46,87.24,10.1,1241.7,69.53,57.99,233.39,10.0,135.13,77.27,302.52,54.84,83.83,234.7,94.98,1697.2,71.89,141.69,10.0,1789.0,10.0,66.25,140.77,209.38,10.0,322.2,322.6,10.0,26.24,279.7,46.44,45.0,316.3,614.62,204.26,25.06,79.76,263.43,67.3,39.1,302.92,10.0,135.91,53.66,10.0,668.02,1455.9,25.06,10.0,248.47,10.23,72.94,438.31,172.78,69.53,276.55,34.37,28.21,44.47,601.77,62.32,558.48,84.49,668.02,99.31,282.45,29.91,402.75,284.55,10.0,245.72,26.76,186.81,96.56,52.48,193.11,213.58,37.0,23.75,10.0,32.67,582.35,54.58,88.55,17.45,102.33,936.04,112.3,21.12,83.83,138.01,134.6,15.74,26.63,10.0,355.0,112.69,15.61,55.1,149.16,97.74,73.86,997.7,2795.7,41.19,73.34,208.59,55.1,73.2,27.55,78.58,10.0,45.0,315.77,10.0,16.92,1141.2,61.4,125.29,23.35,68.48,10.0,35.03,219.22,63.23,61.53,38.83,10.0,19.29,10.0,342.01,148.9,216.07,247.03,79.9,128.3,58.38,1
144.75,160.32,152.42,116.29,13.81,32.76,115.75,31.68,10.0,10.0,23.01,109.46,146.13,10.0,45.64,39.12,33.98,391.6,58.84,161.32,68.27,146.52,65.51,115.37,24.24,351.18,82.23,95.73,1501.9,68.73,16.11,234.81,1129.2,1610.9,11.81,79.32,23.17,19.02,49.86,63.67,30.45,29.53,157.33,18.64,104.32,140.46,10.0,190.7,19.94,10.0,232.05,349.64,30.38,61.52,48.48,32.6,1807.3,55.69,79.01,18.79,36.28,363.99,69.04,130.18,10.0,64.44,114.37,23.17,80.01,679.34,109.92,42.11,29.76,179.88,139.46,10.0,27.62,108.77,147.44,117.83,31.07,96.19,10.0,18.18,63.13,28.61,39.51,111.46,24.32,97.88,87.91,70.19,1137.2,48.33,14.12,86.68,252.99,86.38,33.75,72.18,91.28,29.92,30.15,71.11,70.8,14.19,18.03,69.88,128.72,372.96,119.28,42.19,10.0,38.74,58.15,25.93,70.5,70.96,320.03,440.93,125.8,26.54,10.0,50.78,139.99,95.35,70.11,13.73,18.56,54.23,83.54,16.11,23.24,20.25,74.1,56.77,441.31,85.61,83.61,34.44,25.01,29.23,34.83,87.45,31.76,59.22,10.0,22.63,37.97,32.6,65.28,54.23,22.48,525.15,42.04,118.52,16.8,49.32,204.35,208.19,933.4,16.11,378.87,47.64,23.93,452.2,684.09,67.43,10.0,60.14,48.4,120.05,61.37,57.0,116.21,91.36,201.36,123.81,62.6,43.72,175.43,59.91,115.68,275.46,52.16,74.03,68.66,23.55,33.29,39.74,275.08,498.92,31.37,365.44,18.33,38.36,1880.0,20.48,16.26,77.02,1
178.0,41.74,10.0,23.52,27.51,23.8,168.98,14.97,10.0,10.0,30.67,138.68,152.72,17.48,47.96,163.13,138.87,56.14,37.18,194.73,116.65,50.1,34.58,104.94,18.78,47.87,60.05,83.93,1727.0,50.1,16.55,37.92,179.77,240.84,57.17,51.77,55.86,38.95,70.74,10.0,30.77,180.51,169.54,15.15,28.63,32.72,1122.2,239.16,29.93,57.54,68.41,62.37,31.7,65.16,40.16,40.9,746.67,38.11,78.73,26.49,57.82,1095.1,52.42,226.89,454.25,10.0,173.63,10.0,73.25,108.38,95.37,46.01,44.71,164.8,96.02,45.36,48.52,10.0,440.31,96.2,19.89,66.93,29.28,21.29,75.85,83.56,71.48,101.13,24.07,119.26,67.95,23.98,218.81,95.55,77.06,83.38,331.93,79.66,34.76,30.4,10.0,10.0,20.73,133.01,128.36,77.99,15.24,17.2,92.39,268.16,68.13,50.1,10.0,10.0,10.0,216.2,10.0,102.34,69.25,54.19,17.01,40.62,15.34,10.0,171.96,183.95,69.81,35.88,34.67,44.62,131.06,12.36,90.63,265.37,58.75,84.77,107.36,64.97,127.16,51.96,17.2,13.11,12.64,79.1,40.53,62.93,26.86,39.97,52.61,329.88,103.36,14.22,40.71,689.6,60.05,107.73,28.35,22.31,54.19,141.1,36.07,10.0,310.55,84.86,24.73,84.96,850.5,34.67,10.0,59.02,36.07,133.57,17.38,39.78,10.0,90.72,119.91,198.36,79.85,47.5,224.01,155.88,54.66,343.45,78.64,174.75,104.85,22.59,41.08,83.19,10.0,26.31,16.55,93.51,10.0,22.22,233.49,11.9,105.59,76.13,1
14.08,863.44,13.27,12.86,449.17,21.84,10.0,112.85,19.8,35.71,87.75,56.73,10.0,68.77,41.43,229.18,150.61,14.9,10.0,170.2,47.96,14.9,53.06,130.81,79.18,23.26,30.2,90.41,421.01,50.0,10.0,54.28,44.08,90.0,174.08,95.3,64.28,25.51,25.1,10.0,24.9,10.0,236.32,238.77,108.57,38.16,52.86,156.73,31.43,59.59,271.21,42.04,75.1,83.47,18.16,10.0,179.18,10.0,227.13,152.24,127.75,96.94,10.0,182.85,53.26,10.0,750.99,291.83,71.22,114.28,10.0,115.1,50.61,24.08,38.16,60.2,89.79,63.47,1503.2,10.0,94.28,118.98,1561.0,10.0,157.75,109.38,140.4,10.0,173.46,252.44,10.0,24.08,219.58,83.47,60.81,135.51,457.94,215.3,20.82,77.55,211.83,94.9,17.55,302.44,10.0,89.18,32.45,13.06,525.08,1454.8,10.0,30.0,132.44,12.65,10.0,210.6,83.67,181.83,134.69,22.65,14.29,65.71,305.91,10.0,352.44,35.31,406.92,21.84,125.71,27.55,269.99,199.58,22.65,235.09,12.86,85.71,97.96,18.37,265.3,305.7,42.65,10.0,17.75,10.0,127.14,19.39,126.32,10.0,122.24,550.18,126.53,10.0,40.0,250.6,80.81,10.0,22.24,10.0,329.58,200.61,12.24,10.0,142.65,60.2,53.67,703.24,2608.9,31.43,87.55,168.97,27.55,10.0,41.63,122.04,10.0,10.0,188.77,10.0,25.51,800.38,112.85,331.21,41.02,56.12,20.0,18.16,179.59,105.51,51.22,47.75,10.0,28.98,11.63,135.71,140.4,174.48,520.39,44.9,62.86,39.18,1
224.44,13.43,57.57,162.39,27.69,61.0,310.01,36.33,10.0,28.32,66.62,203.41,355.19,11.87,69.02,56.84,50.7,260.77,65.79,141.05,75.37,130.02,161.56,10.0,40.39,144.91,81.09,281.8,722.76,121.8,66.73,443.67,1129.6,1738.4,82.97,40.5,10.0,28.32,81.41,30.71,62.46,52.26,33.1,33.21,72.04,27.79,10.0,247.24,10.0,28.11,311.26,196.96,49.86,36.96,87.34,25.61,2352.0,20.51,62.77,61.63,47.16,94.73,31.23,128.77,24.78,295.95,149.59,203.2,105.97,537.88,110.55,38.41,10.0,10.0,247.76,96.08,63.71,67.25,265.77,124.61,15.09,11.35,10.0,10.0,99.52,17.91,39.45,137.1,53.51,112.64,84.53,37.89,352.79,86.51,49.97,39.14,98.89,13.64,23.84,10.0,82.34,56.21,111.49,79.43,29.88,63.61,33.1,261.08,110.24,435.13,186.96,33.83,19.15,39.66,22.59,50.9,135.43,166.25,432.01,109.2,103.16,38.41,20.09,224.75,222.04,62.36,48.51,27.48,53.2,300.74,90.36,28.32,16.76,30.92,163.64,50.18,592.32,175.93,105.35,162.5,131.89,16.86,66.0,59.96,28.32,69.33,29.88,19.36,10.0,146.47,61.31,73.49,45.39,608.25,14.05,82.76,245.05,70.16,37.27,79.12,536.11,10.0,668.94,21.03,133.77,162.39,240.16,32.69,18.95,104.62,56.84,61.31,88.28,43.93,180.4,90.15,511.96,75.16,21.76,41.54,10.0,194.04,70.58,221.94,39.66,49.55,54.55,50.38,21.65,76.1,300.12,448.56,42.06,137.72,91.09,89.32,2538.7,28.94,61.63,141.57,1
278.79,101.7,49.06,96.64,16.28,54.9,170.23,26.56,58.72,33.56,29.44,163.77,273.73,30.99,31.07,53.34,54.67,143.91,37.61,53.34,85.19,106.06,41.43,57.47,20.33,128.8,103.49,248.03,1327.1,55.6,48.52,178.95,944.07,958.48,76.78,70.55,19.0,63.7,147.81,91.11,10.0,18.92,200.76,22.97,370.45,224.59,50.85,233.31,53.5,26.17,636.39,202.32,58.17,46.96,85.82,30.92,1013.8,56.15,55.76,42.52,102.79,89.95,46.73,297.4,28.81,65.88,99.06,12.77,142.2,812.46,10.0,29.98,10.0,128.26,241.25,137.6,60.51,76.94,169.3,77.49,37.85,124.21,10.0,55.37,128.8,28.58,73.05,184.56,57.55,106.77,175.68,12.77,978.64,76.78,34.11,173.97,305.89,45.56,10.0,333.61,159.72,97.42,51.01,74.92,69.15,119.77,100.85,47.74,72.89,363.52,59.18,99.91,25.15,123.51,58.41,82.55,131.06,94.23,309.24,137.68,236.97,10.0,11.14,78.42,124.21,74.06,10.0,23.67,24.69,131.92,58.09,26.48,127.32,186.74,114.63,129.19,793.3,69.62,278.4,68.69,146.4,116.19,80.21,78.11,29.59,76.47,16.82,56.07,43.38,525.96,91.81,120.78,73.67,915.64,88.0,10.0,25.47,26.17,22.43,399.26,433.14,56.07,754.52,22.04,35.74,47.74,347.71,67.44,30.92,99.45,74.21,43.77,83.48,65.18,18.85,10.0,66.82,12.3,40.11,143.21,216.96,60.51,226.3,286.58,46.88,341.4,57.78,39.25,30.14,105.13,400.12,493.64,45.17,550.26,95.55,42.68,2353.0,49.37,44.54,16.12,1
146.43,10.0,51.91,151.41,12.91,59.92,213.95,19.58,29.12,46.93,72.25,124.91,197.33,17.81,48.7,37.9,34.69,177.75,69.21,86.17,80.77,125.84,51.91,93.26,46.67,161.62,45.32,91.83,2012.6,47.69,82.54,149.39,926.2,1304.6,24.48,10.0,11.9,18.57,93.94,119.17,30.38,35.7,46.93,46.93,61.95,110.14,10.0,238.77,48.53,10.0,150.4,246.78,22.45,10.55,41.02,23.38,1561.8,21.27,43.47,56.55,37.05,96.47,50.39,10.0,10.0,73.93,112.42,10.0,25.49,1061.6,117.91,10.0,10.0,253.45,216.23,64.48,49.04,90.98,104.82,74.02,39.25,11.56,10.0,12.41,125.42,10.0,14.1,156.22,27.43,64.31,141.62,13.42,1166.7,48.11,35.03,182.22,38.74,10.0,10.0,10.0,10.0,36.8,26.16,10.0,66.93,10.0,76.55,149.3,26.59,546.57,68.95,64.82,10.0,115.04,82.71,64.57,120.27,10.0,296.33,101.03,163.31,10.0,10.0,311.27,209.14,20.34,10.0,57.14,32.75,154.7,32.16,20.26,18.99,19.67,103.05,49.63,764.15,155.72,38.57,10.55,111.15,153.19,48.36,87.69,36.71,29.46,12.07,26.84,10.0,627.68,60.43,141.96,10.0,717.82,46.08,44.56,121.45,64.73,10.0,192.35,974.31,10.0,1090.7,11.06,42.45,221.97,642.96,37.31,23.55,102.88,54.18,49.29,65.24,17.3,221.3,43.97,107.95,10.0,18.91,11.65,10.0,21.69,135.46,146.77,55.11,245.1,45.75,20.51,58.07,89.3,380.56,505.55,107.44,574.51,22.62,48.87,2820.3,61.78,31.99,66.09,1
194.13,174.85,95.29,19.35,15.87,45.04,216.75,31.95,30.97,61.67,21.02,91.18,144.92,44.62,46.36,62.3,49.63,236.73,27.91,35.64,55.62,87.15,121.18,91.39,20.33,171.23,38.0,72.18,1141.9,47.47,94.94,55.48,683.8,993.2,23.88,40.3,152.51,63.62,138.03,20.6,21.23,10.0,31.88,16.08,13.99,108.93,43.29,384.71,55.34,30.35,61.39,180.07,33.83,36.89,107.4,34.11,1102.4,19.98,80.74,34.04,85.13,360.63,41.0,94.04,28.68,10.0,137.82,86.66,82.76,604.1,129.47,61.53,65.08,189.54,155.29,54.57,55.75,114.36,260.32,13.02,24.85,10.0,10.0,35.71,98.56,88.68,39.61,175.96,33.76,96.54,122.64,38.56,461.07,62.37,23.67,206.8,138.79,119.72,91.67,10.0,110.74,44.69,63.06,88.54,76.5,51.16,141.37,74.34,122.44,389.23,15.04,59.72,19.98,43.99,49.42,219.54,90.56,113.46,84.08,135.03,191.9,36.89,10.0,77.12,149.65,100.37,67.52,22.9,23.11,58.4,106.08,17.4,114.08,121.88,105.38,82.9,242.85,73.85,152.44,41.55,125.01,49.07,32.71,110.67,43.09,126.89,18.03,348.1,94.11,653.52,41.35,49.98,41.9,859.83,28.26,52.97,10.0,26.03,10.0,78.58,494.55,10.0,609.46,26.1,12.25,566.45,328.26,43.16,18.17,130.09,59.79,65.5,37.31,33.41,65.22,22.83,146.45,10.0,42.67,36.54,233.32,142.69,63.83,74.69,69.05,172.83,46.15,48.59,50.33,37.1,243.34,237.63,75.38,372.53,103.64,31.25,1332.5,53.88,37.03,55.62,1
152.57,349.1,34.11,10.0,42.17,10.0,211.49,31.6,42.07,80.79,13.92,74.61,24.38,39.35,35.37,118.67,85.29,120.76,10.0,20.51,10.0,10.0,42.28,229.49,10.0,82.04,90.41,75.14,2723.1,61.53,70.32,34.32,350.25,550.85,84.97,129.45,68.33,65.93,10.0,130.81,88.11,38.61,34.22,41.75,46.99,10.0,197.36,35.16,107.16,93.34,18.73,70.43,44.89,34.32,20.2,33.7,427.9,65.19,107.78,57.56,45.0,729.27,10.0,336.12,32.55,10.0,114.27,61.85,99.2,148.6,16.85,134.16,63.62,10.0,31.39,48.77,29.72,10.88,379.03,53.89,31.92,86.23,100.25,88.43,10.0,168.27,55.88,118.46,55.99,114.8,70.43,69.59,1711.5,90.52,54.1,250.21,250.84,224.05,10.0,57.24,72.62,27.63,38.82,134.68,402.05,10.0,10.0,20.2,102.55,189.72,111.03,10.0,17.79,10.0,10.0,275.11,36.63,10.0,27.52,77.54,10.0,111.87,24.28,10.0,220.8,109.04,10.0,36.1,28.05,28.05,88.22,27.73,225.2,33.17,13.5,102.97,514.44,47.4,79.01,81.0,19.57,14.23,10.0,120.97,62.47,10.0,28.46,67.18,10.0,950.08,38.61,10.0,72.1,61.95,42.49,122.12,15.8,10.0,88.32,199.66,50.75,10.0,61.85,11.09,11.09,237.13,1496.6,10.0,49.18,83.51,10.0,10.0,10.0,11.62,10.0,37.36,16.74,63.73,82.15,57.03,565.09,34.85,208.24,201.55,142.95,58.81,43.64,345.02,11.93,44.37,10.0,27.94,11.2,272.08,10.0,26.27,406.86,24.49,13.71,60.38,1
