31342_at,36091_at,36703_at,39721_at,41275_at,32174_at,33829_at,1704_at,35297_at,1786_at,label
37.1,15.2,43.9,25.9,51.4,144.6,47.0,45.4,84.5,115.6,1
58.51,53.66,79.11,73.2,10.0,66.51,83.83,22.83,316.3,51.95,1
68.73,18.03,10.0,120.05,52.16,70.96,10.0,45.64,86.68,68.27,1
50.1,15.24,44.43,133.57,78.64,57.82,45.36,47.96,83.38,116.65,1
50.0,32.45,67.35,10.0,20.0,149.38,60.2,41.43,135.51,47.96,1
121.8,33.1,10.0,61.31,39.66,142.82,96.08,69.02,39.14,75.37,1
55.6,100.85,29.2,43.77,46.88,31.54,137.6,31.07,173.97,85.19,1
47.69,76.55,35.28,49.29,55.11,106.6,64.48,48.7,182.22,80.77,1
47.47,141.37,50.53,65.5,69.05,110.74,54.57,46.36,206.8,55.62,1
61.53,10.0,23.13,10.0,142.95,187.73,48.77,35.37,250.21,10.0,1
60.96,61.74,68.66,24.07,126.59,17.4,55.76,35.67,185.21,70.74,1
32.4,18.29,94.16,99.17,25.29,280.17,39.61,44.94,159.36,36.58,1
12.78,244.68,33.4,30.04,36.65,152.32,150.31,22.53,258.24,48.65,1
50.79,37.76,79.6,49.97,35.32,281.12,107.27,37.93,171.57,64.3,1
11.4,10.0,31.0,10.0,12.8,68.1,10.0,36.2,32.3,12.9,0
23.51,33.48,10.81,34.61,22.09,11.35,47.74,10.0,74.78,54.22,0
23.22,21.2,35.87,10.0,10.0,137.6,13.06,35.55,35.07,44.58,0
36.33,11.31,10.0,13.16,36.71,65.05,31.44,47.43,38.07,30.73,0
12.79,10.0,35.42,10.0,10.0,81.0,10.0,32.39,37.22,10.0,0
24.35,37.33,10.0,10.0,19.26,28.92,10.0,10.7,26.71,53.63,0
10.66,10.0,67.1,10.0,10.0,57.39,10.0,28.73,35.45,15.08,0
32.0,36.95,50.14,10.0,37.09,26.37,42.35,37.91,126.28,26.37,0
23.61,44.02,33.09,10.0,23.93,10.0,16.26,10.0,114.67,16.96,0
12.41,14.75,12.5,26.13,37.35,35.63,66.69,10.0,137.18,19.09,0
10.0,37.16,10.0,10.0,35.71,33.0,23.94,10.0,106.17,17.64,0
31.95,10.0,23.08,31.29,24.13,12.93,21.58,20.08,93.42,17.42,0
24.88,31.05,25.82,10.0,31.16,17.85,27.85,10.0,76.75,43.49,0
25.22,12.96,52.58,35.94,23.33,19.69,32.73,10.0,67.82,79.31,0
