1306_at,1481_at,1736_at,1898_at,291_s_at,31623_f_at,31740_s_at,31901_at,32249_at,32252_at,32502_at,32566_at,32818_at,32905_s_at,33413_at,33452_at,34454_r_at,34771_at,35280_at,35740_at,36197_at,36203_at,36284_at,36591_at,36622_at,36834_at,37222_at,37467_at,37478_at,38013_at,38028_at,388_at,38957_at,38997_at,39066_at,39157_at,39473_r_at,39704_s_at,39870_at,40445_at,41164_at,41165_g_at,41764_at,41771_g_at,614_at,label
395.7,13.3,35.5,63.3,45.7,632.7,10.0,86.4,651.0,10.0,139.2,656.7,39.7,97.1,10.0,25.7,10.0,106.8,20.3,10.0,115.9,431.8,10.0,10.0,10.0,180.7,97.5,10.0,61.4,84.3,18.3,164.2,42.9,151.5,10.0,115.6,10.0,448.3,10.0,32.9,758.6,422.6,503.9,115.9,241.3,1
157.2,11.0,212.7,172.5,16.9,1617.0,10.0,107.9,1198.6,193.2,136.0,731.4,546.1,75.6,248.7,375.7,10.0,56.7,65.2,291.3,10.0,290.9,10.0,44.6,10.0,49.7,91.7,13.5,50.2,23.1,10.0,80.4,46.6,10.0,522.2,10.0,10.0,60.7,56.7,18.1,276.5,128.7,58.1,58.0,540.9,1
117.0,34.4,29.4,98.1,44.8,451.2,10.0,108.9,943.8,10.0,142.3,175.8,30.4,10.0,173.2,10.0,10.0,10.0,10.0,26.4,18.6,529.4,10.0,10.0,10.0,10.0,121.4,10.0,87.8,34.4,10.0,85.2,99.8,72.5,60.2,40.3,36.2,10.0,10.0,34.6,325.8,61.7,70.1,75.2,387.0,1
90.8,29.1,1154.8,458.1,88.5,1661.4,34.4,144.9,62.8,10.0,28.8,234.2,148.7,10.0,58.0,1319.8,10.0,273.5,1172.9,79.3,10.0,53.8,59.3,594.3,10.0,10.2,82.6,10.0,61.9,25.1,10.0,154.8,26.2,398.3,10.0,16.3,10.0,2315.9,10.0,22.1,38.1,10.0,722.8,37.3,10.0,1
344.5,26.2,452.4,16.8,12.8,625.9,10.0,161.2,93.0,10.0,50.5,486.4,254.0,10.0,103.9,10.0,10.0,80.9,244.1,10.0,714.5,220.1,10.0,353.8,10.0,10.0,10.0,10.0,17.2,10.0,10.0,160.6,10.0,10.0,10.0,101.3,10.0,470.2,20.0,24.0,106.4,27.2,281.1,69.8,10.0,1
91.8,27.7,343.5,468.5,14.9,1110.8,10.0,133.8,137.3,10.0,480.5,118.2,46.0,236.7,16.5,10.0,50.5,72.1,35.9,34.9,567.5,117.6,10.0,10.0,10.0,10.7,108.5,44.9,43.7,83.0,10.0,175.2,41.5,348.6,95.8,70.6,10.0,55.0,34.0,10.0,264.3,58.5,430.2,49.6,224.4,1
277.4,22.6,110.6,77.4,10.0,2005.7,10.0,201.6,1055.9,10.0,85.3,692.8,11.0,10.0,25.4,21.6,10.0,24.4,10.0,38.2,594.1,206.5,10.0,10.0,10.0,13.3,125.6,10.0,12.4,20.4,10.0,113.9,10.0,222.8,10.0,16.7,10.0,121.8,10.0,36.1,151.4,10.0,389.1,31.4,2385.1,1
244.2,20.7,197.0,328.2,51.4,1493.6,119.1,54.5,181.0,10.0,398.2,356.4,10.0,20.9,10.0,10.0,26.0,98.6,36.3,10.0,128.8,180.9,10.0,10.0,10.0,26.8,79.6,10.0,16.3,58.5,10.0,176.7,10.0,128.9,10.0,31.3,10.0,107.6,49.7,28.7,104.0,10.0,526.4,56.5,842.3,1
301.5,15.3,647.9,1449.1,14.7,1889.4,10.0,55.5,162.5,10.0,370.9,233.4,27.3,10.0,10.0,15.0,10.0,86.6,104.4,23.7,42.1,188.8,10.0,14.2,10.0,10.0,128.4,10.0,84.0,14.6,10.0,193.1,20.6,337.4,10.0,37.3,10.0,87.4,10.6,32.8,2822.2,1757.0,511.0,49.6,152.2,1
171.5,69.0,537.8,53.8,24.7,1874.9,10.0,154.4,908.0,10.0,60.2,82.5,260.9,14.4,37.6,10.0,82.5,149.8,157.0,19.9,188.4,91.8,10.0,167.4,10.0,10.0,10.0,10.0,10.0,63.4,10.0,98.7,33.6,99.4,117.4,61.3,87.4,12.8,28.4,10.9,1852.5,604.4,582.3,94.9,901.7,1
